PGR ID,PGR Name,BZR ID,BZR Name,PLR ID,PLR Name
,,,,01100102,Großer Tiergarten
,,,,01100103,Lützowstraße
,,,,01100104,Körnerstraße
,,011002,Regierungsviertel,01100205,Wilhelmstraße
,,,,01100206,Unter den Linden
,,,,01100207,Leipziger Straße
,,011003,Alexanderplatz,01100308,Charitéviertel
,,,,01100309,Oranienburger Straße
,,,,01100310,Alexanderplatzviertel
,,,,01100311,Karl-Marx-Allee
,,,,01100312,Heine-Viertel West
,,,,01100313,Heine-Viertel Ost
,,011004,Brunnenstraße Süd,01100414,Nordbahnhof
,,,,01100415,Invalidenstraße
,,,,01100416,Arkonaplatz
0120,Moabit,012005,Moabit West,01200517,Huttenkiez
,,,,01200518,Beusselkiez
,,,,01200519,Emdener Straße
,,,,01200520,Bremer Straße
,,,,01200521,Zwinglistraße
,,,,01200522,Elberfelder Straße
,,012006,Moabit Ost,01200623,Stephankiez
,,,,01200624,Heidestraße
,,,,01200625,Lübecker Straße
,,,,01200626,Thomasiusstraße
,,,,01200627,Zillesiedlung
,,,,01200628,Lüneburger Straße
,,,,01200629,Hansaviertel
0130,Gesund- brunnen,013007,Osloer Straße,01300730,Drontheimer Straße
,,,,01300731,Koloniestraße
,,,,01300732,Soldiner Straße
,,,,01300733,Gesundbrunnen
,,013008,Brunnenstraße Nord,01300834,Brunnenstraße
,,,,01300835,Humboldthain Süd
,,,,01300836,Humboldthain Nordwest
0140,Wedding,014009,Parkviertel,01400937,Afrikanische Straße
,,,,01400938,Kameruner Straße
,,,,01400939,Glasgower Straße
,,,,01400940,Schillerpark
,,,,01400941,Londoner Straße
,,,,01400942,Westliche Müllerstraße
,,014010,Wedding Zentrum,01401043,Antonstraße
,,,,01401044,Uferstraße
,,,,01401045,Schwedenstraße
,,,,01401046,Nordufer
,,,,01401047,Sparrplatz
,,,,01401048,Leopoldplatz
,,,,01401049,Schulstraße
0210,Kreuzberg Nord,021001,Südliche Friedrichstadt,02100101,Askanischer Platz
,,,,02100102,Mehringplatz
,,,,02100103,Am Berlin Museum
,,,,02100104,Moritzplatz
,,,,02100105,Prinzenstraße
,,,,02100106,Wassertorplatz
0220,Kreuzberg Süd,022002,Tempelhofer Vorstadt,02200207,Gleisdreieck
,,,,02200208,Rathaus Yorckstraße
,,,,02200209,Viktoriapark
,,,,02200210,Urbanstraße
,,,,02200211,Chamissokiez
,,,,02200212,Graefekiez Süd
,,,,02200213,Graefekiez Nord
0230,Kreuzberg Ost,023003,Nördliche Luisenstadt,02300314,Oranienplatz
,,,,02300315,Lausitzer Platz
,,,,02300316,Köpenicker Straße
,,023004,Südliche Luisenstadt,02300417,"Reichenberger Straße
West"
,,,,02300418,"Reichenberger Straße
Ost"
,,,,02300419,Wrangelkiez
0240,Friedrichshain West,024005,Karl-Marx-Allee Nord,02400520,Barnimkiez
,,,,02400521,Friedenstraße
,,,,02400522,Richard-Sorge-Viertel
,,024006,Karl-Marx-Allee Süd,02400623,Andreasviertel
,,,,02400624,Weberwiese
,,,,02400625,Wriezener Bahnhof
0250,Friedrichshain Ost,025007,Frankfurter Allee Nord,02500726,Hausburgviertel
,,,,02500727,Forckenbeckplatz
,,,,02500728,Samariterviertel
,,,,02500729,Pettenkofer Straße
,,025008,Frankfurter Allee Süd FK,02500830,Niederbarnimstraße
,,,,02500831,Wismarplatz
,,,,02500832,Traveplatz
,,,,02500833,Boxhagener Platz
,,,,02500834,Revaler Straße
,,,,02500835,Stralauer Kiez
,,,,02500836,Stralauer Halbinsel
0310,Buch,031001,Buch,03100101,Bucher Forst
,,,,03100102,Klinikum Buch
,,,,03100103,Karower Chaussee
0320,Nördliches Pankow,032002,Blankenfelde / Niederschön- hausen,03200204,Blankenfelde
,,,,03200205,Uhlandstraße
,,,,03200206,Pastor-Niemöller-Platz
,,,,03200207,Herthaplatz
,,032003,Buchholz,03200308,Nisbléstraße
,,,,03200309,Eddastraße
,,,,03200310,Krugpfuhl
0330,Nördliches Weißensee,033004,Karow,03300411,Karow Nord
,,,,03300412,Karow Bahnhof
,,,,03300413,Karow Ost
,,033005,Blankenburg / Heinersdorf / Märchenland,03300514,Blankenburg
,,,,03300515,Blankenburger Süden
,,,,03300516,Heinersdorf
,,,,03300517,Märchenland
0340,Südliches Pankow,034006,Schönholz / Wilhelmsruh / Rosenthal,03400618,Rosenthal
,,,,03400619,Wilhelmsruh
,,,,03400620,Schönholz
,,034007,Pankow Zentrum,03400721,Florakiez
,,,,03400722,Parkstraße
,,,,03400723,Garbátyplatz
,,,,03400724,Wolfshagener Straße
,,,,03400725,Schlosspark
,,034008,Pankow Süd,03400826,Tiroler Viertel
,,,,03400827,Trelleborger Viertel
,,,,03400828,Spiekermann Straße
,,,,03400829,Arnold-Zweig-Straße
,,,,03400830,Kissingenviertel
,,,,03400831,Pankower Tor
0350,Südliches Weißensee,035009,Weißensee,03500932,Bühringstraße
,,,,03500933,Weißer See
,,,,03500934,Weißenseer Spitze
,,,,03500935,Behaimstraße
,,,,03500936,Komponistenviertel Weißensee
,,035010,Weißensee Ost,03501037,Rathaus Weißensee
,,,,03501038,Hansastraße
0360,Nördlicher Prenzlauer Berg,036011,Prenzlauer Berg Nordwest,03601139,Norweger Viertel
,,,,03601140,Malmöer Straße
,,,,03601141,Arnimplatz
,,,,03601142,Falkplatz
,,036012,Prenzlauer Berg Nord,03601243,Rodenbergstraße
,,,,03601244,Humannplatz
,,,,03601245,Ostseestraße
,,036013,Helmholtzplatz,03601346,Gethsemanekirche
,,,,03601347,Helmholtzplatz
,,,,03601348,Senefelderstraße
,,036014,Prenzlauer Berg Ost,03601449,Michelangelostraße
,,,,03601450,"Volkspark Prenzlauer
Berg"
,,,,03601451,Anton-Saefkow-Park
,,,,03601452,Velodrom
,,,,03601453,Alter Schlachthof
0370,Südlicher Prenzlauer Berg,037015,Prenzlauer Berg Südwest,03701554,Teutoburger Platz
,,,,03701555,Sredzkistraße
,,,,03701556,Kollwitzplatz
,,037016,Prenzlauer Berg Süd,03701657,Thälmannpark
,,,,03701658,Christburger Straße
,,,,03701659,Immanuelkirchstraße
,,,,03701660,Bötzowstraße
0520,Wilhelmstadt / Staaken,052004,Brunsbütteler Damm,05200418,Isenburger Weg
,,,,05200419,Am Heideberg
,,,,05200420,Staakener Straße
,,,,05200421,Spandauer Straße
,,,,05200422,Werkstraße
,,,,05200423,Magistratsweg
,,052005,Heerstraße,05200524,Döberitzer Weg
,,,,05200525,Pillnitzer Weg
,,,,05200526,Rudolf-Wissell- Großsiedlung
,,,,05200527,Maulbeerallee
,,,,05200528,Weinmeisterhornweg
,,052006,Wilhelmstadt,05200629,Borkumer Straße
,,,,05200630,Wilhelmstadt West
,,,,05200631,Wilhelmstadt Ost
,,,,05200632,Tiefwerder
,,,,05200633,Graetschelsteig
,,,,05200634,Börnicker Straße
0530,Haselhorst / Siemensstadt,053007,Haselhorst,05300735,Haveleck
,,,,05300736,Zitadellenweg
,,,,05300737,Gartenfelder Straße
,,053008,Siemensstadt,05300838,Gartenfeld
,,,,05300839,Rohrdamm
,,,,05300840,Nonnendammallee
,,,,05300841,Siemensdamm
0540,Gatow / Kladow,054009,Gatow / Kladow,05400942,Alt-Gatow
,,,,05400943,Jägerallee
,,,,05400944,Kladower Damm
,,,,05400945,Kafkastraße
0610,Steglitz,061001,Schloßstraße,06100101,Fichtenberg
,,,,06100102,Schloßstraße
,,,,06100103,Markelstraße
,,061002,Albrechtstraße,06100204,Munsterdamm
,,,,06100205,Südende
,,,,06100206,Stadtpark
,,,,06100207,Mittelstraße
,,,,06100208,Bergstraße
,,,,06100209,Feuerbachstraße
,,,,06100210,Bismarckstraße
0620,Lankwitz / Lichterfelde Ost,062003,Lankwitz,06200311,Alt-Lankwitz
,,,,06200312,"Komponistenviertel
Lankwitz"
,,,,06200313,Lankwitz Kirche
,,,,06200314,Kaiser-Wilhelm-Straße
,,,,06200315,Gallwitzallee
,,,,06200316,Belßstraße
,,,,06200317,Lankwitz Süd
,,062004,Ostpreußendamm,06200418,Landweg
,,,,06200419,Thermometersiedlung
,,,,06200420,Lichterfelde Süd
,,,,06200421,Königsberger Straße
,,,,06200422,Oberhofer Platz
,,,,06200423,Schütte-Lanz-Straße
0630,Zehlendorf Süd / Lichterfelde West,063005,Teltower Damm,06300524,Berlepschstraße
,,,,06300525,Zehlendorf Süd
,,,,06300526,Zehlendorf Mitte
,,,,06300527,Sundgauer Straße
,,,,06300528,Teltower Damm
,,063006,Drakestraße,06300629,Botanischer Garten
,,,,06300630,Hindenburgdamm
,,,,06300631,Goerzwerke
,,,,06300632,Schweizer Viertel
,,,,06300633,Augustaplatz
,,,,06300634,Lichterfelde West
0640,Zehlendorf Nord / Wannsee,064007,Zehlendorf Südwest,06400735,Wannsee
,,,,06400736,Düppel
,,,,06400737,Nikolassee
,,064008,Zehlendorf Nord,06400838,Krumme Lanke
,,,,06400839,Fischerhüttenstraße
,,,,06400840,Fischtal
,,,,06400841,Zehlendorf Eiche
,,,,06400842,Hüttenweg
,,,,06400843,Thielallee
,,,,06400844,Dahlem
1010,Marzahn,101001,Marzahn Nord,10100101,Marzahn West
,,,,10100102,Rosenbecker Straße
,,,,10100103,Wittenberger Straße
,,,,10100104,Golliner Straße
,,101002,Marzahn Mitte,10100205,Gewerbegebiet Bitterfelder Straße
,,,,10100206,Wuhletalstraße
,,,,10100207,Ahrensfelder Berge
,,,,10100208,Bürgerpark
,,,,10100209,Lea-Grundig-Straße
,,,,10100210,Marzahner Promenade
,,101003,Marzahn Süd,10100311,Marzahner Chaussee
,,,,10100312,Springpfuhl
,,,,10100313,Alt-Marzahn
,,,,10100314,Auersbergstraße
,,,,10100315,Bärenstein
,,,,10100316,Landsberger Tor
1020,Hellersdorf,102004,Hellersdorf Nord,10200417,Zossener Straße
,,,,10200418,Kyritzer Straße
,,,,10200419,Havelländer Ring
,,,,10200420,Gut Hellersdorf
,,,,10200421,Helle Mitte
,,,,10200422,"Hellersdorfer
Promenade"
,,,,10200423,Böhlener Straße
,,102005,Hellersdorf Ost,10200524,Adele-Sandrock-Straße
,,,,10200525,Schleipfuhl
,,,,10200526,"Boulevard
Kastanienallee"
,,102006,Hellersdorf Süd,10200627,Am Kienberg
,,,,10200628,Neue Grottkauer Straße
,,,,10200629,Teterower Ring
,,,,10200630,Cecilienplatz
1030,Biesdorf,103007,Biesdorf,10300731,Oberfeldstraße
,,,,10300732,Buckower Ring
,,,,10300733,Alt-Biesdorf
,,,,10300734,Biesdorf Süd
1040,Kaulsdorf / Mahlsdorf,104008,Kaulsdorf,10400835,Kaulsdorf Nord
,,,,10400836,Alt-Kaulsdorf
,,,,10400837,Kaulsdorf Süd
,,104009,Mahlsdorf,10400938,Mahlsdorf Nord
,,,,10400939,Alt-Mahlsdorf
,,,,10400940,Elsensee
,,,,10400941,Pilgramer Straße
1110,Hohenschön- hausen Nord,111001,"Malchow, Wartenberg und Falkenberg",11100101,Dörfer Malchow- Wartenberg
,,,,11100102,Dorf Falkenberg
,,111002,Neu-Hohenschön- hausen Nord,11100203,Falkenberg Ost
,,,,11100204,Falkenberg West
,,,,11100205,Wartenberg Süd
,,,,11100206,Wartenberg Nord
,,111003,Neu-Hohenschön- hausen Süd,11100307,Zingster Straße Ost
,,,,11100308,Zingster Straße West
,,,,11100309,Mühlengrund
1120,Hohenschön- hausen Süd,112004,Alt-Hohenschön- hausen Nord,11200410,Malchower Weg
,,,,11200411,Hauptstraße
,,112005,Alt-Hohenschön- hausen Süd,11200512,Orankesee
,,,,11200513,Große-Leege-Straße
,,,,11200514,Landsberger Allee
,,,,11200515,Weiße Taube
1130,Lichtenberg Nord,113006,Fennpfuhl,11300616,"Hohenschönhausener
Straße"
,,,,11300617,Fennpfuhlpark
,,,,11300618,Storkower Bogen
,,,,11300619,Rudolf-Seiffert-Park
,,,,11300620,Fennpfuhl Ost
,,113007,Alt-Lichtenberg,11300721,Herzbergstraße
,,,,11300722,Rathaus Lichtenberg
,,,,11300723,Bornitzstraße
,,,,11300724,Roedeliusplatz
,,,,11300725,Nibelungenviertel
,,113008,"Frankfurter Allee
Süd",11300826,Frankfurter Allee Süd
0410,Charlottenburg Nord,041001,Charlottenburg Nord,04100101,"Jungfernheide /
Plötzensee"
,,,,04100102,Paul-Hertz-Siedlung
0420,Charlottenburg West,042002,Heerstraße,04200203,Olympiagelände
,,,,04200204,Angerburger Allee
,,,,04200205,Flatowallee
,,,,04200206,Kranzallee
,,,,04200207,Eichkamp
,,042003,Westend,04200308,Branitzer Platz
,,,,04200309,Neu Westend
,,,,04200310,Fürstenplatz
,,,,04200311,"Königin-Elisabeth-
Straße"
0430,Charlottenburg Zentrum,043004,Schloss Charlottenburg,04300412,Schlossgarten
,,,,04300413,Klausenerplatz
,,,,04300414,Schloßstraße
,,,,04300415,Lietzensee
,,,,04300416,Amtsgerichtsplatz
,,043005,Mierendorffplatz,04300517,Tegeler Weg
,,,,04300518,Kaiserin-Augusta-Allee
,,043006,Otto-Suhr-Allee / Kantstraße,04300619,Alt-Lietzow
,,,,04300620,Spreestadt
,,,,04300621,Richard-Wagner-Straße
,,,,04300622,Ernst-Reuter-Platz
,,,,04300623,Karl-August-Platz
,,,,04300624,Savignyplatz
0440,Wilmersdorf Süd,044007,Grunewald,04400725,Güterbahnhof Grunewald
,,,,04400726,Bismarckallee
,,,,04400727,Flinsberger Platz
,,,,04400728,Hagenplatz
,,,,04400729,Hundekehle
,,044008,Schmargendorf,04400830,Forckenbeckstraße
,,,,04400831,Messelpark
,,,,04400832,Breite Straße
,,,,04400833,Schlangenbader Straße
,,,,04400834,Binger Straße
,,,,04400835,Rüdesheimer Platz
0450,Wilmersdorf Zentrum,045009,Halensee,04500936,Droysenstraße
,,,,04500937,Halensee
,,,,04500938,Hochmeisterplatz
,,,,04500939,Eisenzahnstraße
,,045010,Lietzenburger Straße,04501040,Hindemithplatz
,,,,04501041,George-Grosz-Platz
,,,,04501042,Breitscheidplatz
,,,,04501043,Preußenpark
,,,,04501044,Ludwigkirchplatz
,,,,04501045,Schaperstraße
,,045011,Volkspark Wilmersdorf,04501146,Barstraße
,,,,04501147,Leon-Jessel-Platz
,,,,04501148,Brabanter Platz
,,,,04501149,Nikolsburger Platz
,,,,04501150,Wilhelmsaue
,,,,04501151,Hildegardstraße
,,,,04501152,Prager Platz
,,,,04501153,Babelsberger Straße
0510,Spandau Mitte / Nord,051001,Hakenfelde,05100101,Hakenfelde Nord
,,,,05100102,Am Forstacker
,,,,05100103,Mertensstraße
,,,,05100104,Maselake
,,,,05100105,Amorbacher Weg
,,051002,Falkenhagener Feld,05100206,Griesingerstraße
,,,,05100207,An der Tränke
,,,,05100208,Im Spektefeld
,,,,05100209,Westerwaldstraße
,,,,05100210,Germersheimer Platz
,,,,05100211,An der Kappe
,,051003,Spandau Mitte,05100312,Eckschanze
,,,,05100313,Eiswerder
,,,,05100314,Kurstraße
,,,,05100315,Ackerstraße
,,,,05100316,Carl-Schurz-Straße
,,,,05100317,Freiheit
1140,Lichtenberg Mitte,114009,Neu-Lichtenberg,11400927,Victoriastadt
,,,,11400928,Nöldnerplatz
,,,,11400929,Weitlingkiez
,,,,11400930,Zachertstraße
,,,,11400931,Massower Straße
,,114010,Friedrichsfelde Nord,11401032,Rosenfelder Ring
,,,,11401033,Gensinger Straße
,,,,11401034,Tierpark
,,114011,Friedrichsfelde Süd,11401135,Dolgenseestraße
,,,,11401136,Volkradstraße
,,,,11401137,Erieseering
1150,Lichtenberg Süd,115012,Rummelsburger Bucht,11501238,Rummelsburg
,,115013,Karlshorst,11501339,Karlshorst West
,,,,11501340,Karlshorst Nord
,,,,11501341,Karlshorst Süd
1210,Reinickendorf Ost,121001,Ost 1 - Reginhardstraße,12100101,Letteplatz
,,,,12100102,Hausotterplatz
,,,,12100103,Breitkopfbecken
,,121002,Ost 2 - Alt- Reinickendorf,12100204,Schäfersee
,,,,12100205,Teichstraße
,,,,12100206,Humboldtstraße
1220,Tegel,122003,West 4 - Auguste- Viktoria-Allee,12200307,Reinickes Hof
,,,,12200308,Mellerbogen
,,,,12200309,Scharnweberstraße
,,,,12200310,Klixstraße
,,122004,West 1 - Tegel-Süd / Flughafensee,12200411,Schumacher-Quartier
,,,,12200412,Waldidyll/Flughafensee
,,,,12200413,Tegel Süd
,,,,12200414,TXL
,,122005,West 5 - Tegel,12200515,Alt-Tegel
1240,Grüner Norden,124006,West 2 - Heiligensee / Konradshöhe,12400616,Konradshöhe/Tegelort
,,,,12400617,Alt-Heiligensee
,,,,12400618,Heiligensee Nord
,,,,12400619,Heiligensee
,,124007,Nord 1 - Frohnau / Hermsdorf,12400720,Frohnau West
,,,,12400721,Frohnau Ost
,,,,12400722,Hermsdorf West
,,,,12400723,Hermsdorf Ost/Waldsee
1250,Wittenau / Borsigwalde,125008,West 3 - Borsigwalde / Freie Scholle,12500824,Ziekowstraße/Freie Scholle
,,,,12500825,Borsigwalde
,,125009,Nord 2 - Waidmannslust / Wittenau / Lübars,12500926,Wittenau Süd
,,,,12500927,Wittenau Nord
,,,,12500928,Waidmannslust
,,,,12500929,Lübars
,,,,12500930,Wittenau Mitte
1260,Märkisches Viertel,126010,Rollbergesiedlung,12601031,Lübarser Straße
,,,,12601032,Rollbergesiedlung
,,126011,MV Nord,12601133,Treuenbrietzener Straße
,,,,12601134,Märkisches Zentrum
,,126012,MV Süd,12601235,Dannenwalder Weg
,,,,12601236,Schorfheidestraße
